		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	1	0,00E+00	0	0,0000
1	2	1,54E-05	0,0010476	0,0000
1	3	3,47E-05	0,0015701	0,0000
1	4	6,17E-05	0,0020916	0,0000
1	5	9,64E-05	0,0026124	0,0000
1	6	0,00013878	0,0031322	0,0000
1	7	0,0001889	0,0036511	0,0000
1	8	0,00024672	0,0041692	0,0000
1	9	0,00031225	0,0046863	0,0000
1	10	0,00038548	0,0052026	0,0000
1	11	0,00046642	0,0057179	0,0000
1	12	0,00055506	0,0062324	0,0000
1	13	0,00065141	0,0067459	0,0000
1	14	0,00075545	0,0072585	0,0000
1	15	0,00086719	0,0077703	0,0000
1	16	0,00098664	0,0082811	0,0000
1	17	0,0011138	0,008791	0,0000
1	18	0,0012486	0,0092999	0,0000
1	19	0,0013911	0,009808	0,0000
1	20	0,0015413	0,010315	0,0000
1	21	0,0016992	0,010821	0,0000
1	22	0,0018648	0,011326	0,0000
1	23	0,0020381	0,011831	0,0000
1	24	0,002219	0,012334	0,0000
1	25	0,0024076	0,012837	0,0000
1	26	0,0026039	0,013338	0,0000
1	27	0,0028079	0,013838	0,0000
1	28	0,0030195	0,014338	0,0000
1	29	0,0032388	0,014836	0,0000
1	30	0,0034658	0,015334	0,0000
1	31	0,0037004	0,015831	0,0000
1	32	0,0039426	0,016326	0,0000
1	33	0,0041926	0,016821	0,0000
1	34	0,0044501	0,017314	0,0000
1	35	0,0047153	0,017807	0,0000
1	36	0,0049882	0,018299	0,0000
1	37	0,0052686	0,018789	0,0000
1	38	0,0055568	0,019279	0,0000
1	39	0,0058525	0,019768	0,0000
1	40	0,0061558	0,020255	0,0000
1	41	0,0064668	0,020742	0,0000
1	42	0,0067854	0,021227	0,0000
1	43	0,0071116	0,021711	0,0000
1	44	0,0074453	0,022195	0,0000
1	45	0,0077867	0,022677	0,0000
1	46	0,0081357	0,023158	0,0000
1	47	0,0084922	0,023639	0,0000
1	48	0,0088564	0,024118	0,0000
1	49	0,0092281	0,024596	0,0000
1	50	0,0096074	0,025073	0,0000
1	51	0,0099942	0,025549	0,0000
1	52	0,010389	0,026023	0,0000
1	53	0,010791	0,026497	0,0000
1	54	0,0112	0,026969	0,0000
1	55	0,011617	0,027441	0,0000
1	56	0,012042	0,027911	0,0000
1	57	0,012474	0,02838	0,0000
1	58	0,012913	0,028848	0,0000
1	59	0,01336	0,029315	0,0000
1	60	0,013815	0,029781	0,0000
1	61	0,014277	0,030245	0,0000
1	62	0,014747	0,030709	0,0000
1	63	0,015224	0,031171	0,0000
1	64	0,015708	0,031632	0,0000
1	65	0,0162	0,032092	0,0000
1	66	0,0167	0,03255	0,0000
1	67	0,017207	0,033008	0,0000
1	68	0,017721	0,033464	0,0000
1	69	0,018243	0,033919	0,0000
1	70	0,018772	0,034372	0,0000
